,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
14,Macquarie Group Limited,Capital Markets,$55.99 B," 17,209",Australia,"Sydney,NSW,Australia",,Financials," Ms. Shemara R. Wikramanayake B.Com., L.L.B., LLB, BCom (UNSW)", 1969,,,,MQG,,
15,General Motors Company,Auto Manufacturers,$62.69 B," 157,000",United States,"Detroit,MI,UnitedStates",,Consumer Discretionary, Ms. Mary T. Barra," September 16, 1908",,,,GM,,
16,Edwards Lifesciences Corporation,Medical Devices,$73.38 B," 15,700",United States,"Irvine,CA,UnitedStates",,Healthcare, Mr. Michael A. Mussallem, 1958,,,,EW,,
17,Zurich Insurance Group AG,Insurance—Diversified,$73.58 B," 55,000",Switzerland,"Zurich,Switzerland",,Financials, Mr. Mario  Greco,,,,,ZURN,,
18,Atlassian Corporation Plc,Software—Application,$73.72 B," 7,388",Australia,"Sydney,NSW,Australia",,Technology, Mr. Michael  Cannon-Brookes, 2002,,,,TEAM,,
19,"The TJX Companies, Inc.",Apparel Retail,$73.99 B," 270,000",United States,"Framingham,MA,UnitedStates",,Consumer Discretionary, Mr. Ernie L. Herrman, 1987,,,,TJX,,
20,"Intercontinental Exchange, Inc.",Financial Data & Stock Exchanges,$74.17 B," 8,858",United States,"Atlanta,GA,UnitedStates",,Financials, Mr. Jeffrey C. Sprecher," May 11, 2000",,,,ICE,,
21,Canadian Natural Resources Limited,Oil & Gas E&P,$74.78 B," 9,735",Canada,"Calgary,AB,Canada",,Energy,,,,,,CNQ,,
22,Truist Financial Corporation,Banks,$74.79 B," 50,283",United States,"Charlotte,NC,UnitedStates",,Financials, Mr. William Henry Rogers Jr., 1872,,,,TFC,,
23,"Regeneron Pharmaceuticals, Inc.",Biotechnology,$74.91 B," 10,368",United States,"Tarrytown,NY,UnitedStates",,Healthcare," Dr. Leonard S. Schleifer M.D., Ph.D.", 1988,,,,REGN,,
24,"Gilead Sciences, Inc.",Drug Manufacturers—General,$76.15 B," 14,400",United States,"FosterCity,CA,UnitedStates",,Healthcare, Mr. Daniel P.  O'Day," June 22, 1987",,,,GILD,,
25,"Becton, Dickinson and Company",Medical Instruments & Supplies,$76.98 B," 75,000",United States,"FranklinLakes,NJ,UnitedStates",,Healthcare, Mr. Thomas E. Polen Jr.," East Rutherford, New Jersey 1897",,,,BDX,,
26,"The PNC Financial Services Group, Inc.",Banks,$77.10 B," 57,668",United States,"Pittsburgh,PA,UnitedStates",,Financials, Mr. William S. Demchak," April 10, 1845",,,,PNC,,
27,Lam Research Corporation,Semiconductor Equipment & Materials,$77.60 B," 16,300",United States,"Fremont,CA,UnitedStates",,Technology, Mr. Timothy M. Archer, 1980,,,,LRCX,,
28,The Southern Company,Utilities—Regulated Electric,$78.38 B," 27,027",United States,"Atlanta,GA,UnitedStates",,Utilities, Mr. Thomas A. Fanning, 1945,,,,SO,,
29,China Petroleum & Chemical Corporation,Oil & Gas Integrated,$78.39 B," 384,065",China,"Beijing,China",,Energy,," Beijing, China 25 February 2000",,,,600028,,
30,China Yangtze Power Co. Ltd,Utilities—Independent Power Producers,$78.42 B," 3,985",China,"Beijing,China",,Utilities,,,,,,600900,,
31,Kering SA,Luxury Goods,$78.66 B," 42,811",France,"Paris,France",,Consumer Discretionary, Mr. FranÃ§ois-Henri  Pinault,,,,,KER,,
32,Bank of Montreal,Banks,$79.22 B," 43,863",Canada,"Montreal,QC,Canada",,Financials, Mr. William Darryl White, Montreal Bank 23 June 1817,,,,BMO,,
33,Tokyo Electron Ltd,Semiconductor Equipment & Materials,$79.62 B," 14,479",Japan,"Tokyo,Japan",,Technology, Mr. Toshiki  Kawai,,,,,8035,,
34,U.S. Bancorp,Banks,$80.16 B," 68,796",United States,"Minneapolis,MN,UnitedStates",,Financials, Mr. Andrew J. Cecere," July 13, 1863",,,,USB,,
35,EssilorLuxottica SA,Medical Instruments & Supplies,$80.49 B," 144,888",France,"Paris,France",,Healthcare, Mr. Francesco  Milleri,,,,,EL,,
36,Crown Castle International Corp. (REIT),REIT—Specialty,$80.92 B," 5,000",United States,"Houston,TX,UnitedStates",,Real Estate, Mr. Jay A. Brown, 1994,,,,CCI,,
37,National Australia Bank Limited,Banks,$81.03 B," 32,741",Australia,"Docklands,VIC,Australia",,Financials," Mr. Ross Maxwell McEwan B.B.S., CBE", 1982,,,,NAB,,
38,"HCA Healthcare, Inc.",Medical Care Facilities,$82.60 B," 204,000",United States,"Nashville,TN,UnitedStates",,Healthcare, Mr. Samuel N. Hazen, 1968,,,,HCA,,
39,Air Liquide SA,Chemicals,$83.24 B," 66,400",France,"Paris,France",,Basic Materials, Mr. Benoit  Potier,,,,,AI,,
40,Shopify Inc.,Software—Application,$83.80 B," 10,000",Canada,"Ottawa,ON,Canada",,Technology, Mr. Tobias  LÃ¼tke, 2006,,,,SHOP,,
41,Cigna Corporation,Healthcare Plans,$84.67 B," 72,226",United States,"Bloomfield,CT,UnitedStates",,Healthcare, Mr. David Michael Cordani, 1982,,,,CI,,
42,"Mitsubishi UFJ Financial Group, Inc.",Banks,$85.03 B," 132,700",Japan,"Tokyo,Japan",,Financials, Mr. Hironori  Kamezawa," October 1, 2005",,,,8306,,
43,"Micron Technology, Inc.",Semiconductors,$86.49 B," 43,000",United States,"Boise,ID,UnitedStates",,Technology, Mr. Sanjay  Mehrotra," October 5, 1978",,,,MU,,
44,"Marsh & McLennan Companies, Inc.",Insurance Brokers,$87.16 B," 83,000",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Daniel S. Glaser, 1905,,,,MMC,,
45,CME Group Inc.,Financial Data & Stock Exchanges,$87.17 B," 3,480",United States,"Chicago,IL,UnitedStates",,Financials, Mr. Terrence A. Duffy, 1848,,,,CME,,
46,Glencore plc,Other Industrial Metals & Mining,$87.31 B," 81,284",Switzerland,"Baar,Switzerland",,Basic Materials, Mr. Gary  Nagle, 1974,,,,GLEN,,
47,Brookfield Asset Management Inc.,Asset Management,$87.46 B," 150,000",Canada,"Toronto,ON,Canada",,Financials, Mr. James Bruce Flatt, 1899,,,,BAM.A,,
48,The Blackstone Group Inc.,Asset Management,$87.64 B," 3,795",United States,"NewYork,NY,UnitedStates",,Financials," Mr. Stephen Allen Schwarzman B.A., M.B.A.", 1985,,,,BX,,
49,Bank of Nova Scotia,Banks,$87.76 B," 89,782",Canada,"Halifax,NS,Canada",,Financials," Mr. Brian Johnston Porter A.M.P., B.Com."," March 30, 1832",,,,BNS,,
50,Duke Energy Corporation,Utilities—Regulated Electric,$88.76 B," 27,605",United States,"Charlotte,NC,UnitedStates",,Utilities, Ms. Lynn J. Good, 1904,,,,DUK,,
51,3M Company,Specialty Industrial Machinery,$88.77 B," 95,000",United States,"St.Paul,MN,UnitedStates",,Industrials, Mr. Michael F. Roman," June 13, 1902",,,,MMM,,
52,CSL Limited,Biotechnology,$89.69 B," 25,000",Australia,"Parkville,VIC,Australia",,Healthcare, Mr. Paul R. Perreault B.A., 1916,,,,CSL,,
53,Zoetis Inc.,Drug Manufacturers—Specialty & Generic,$89.82 B," 12,100",United States,"Parsippany,NJ,UnitedStates",,Healthcare, Ms. Kristin C. Peck, 1952 ,,,,ZTS,,
54,Vulcan International Corp,Chemicals,$90.34 B, 68,United States,"Wilmington,DE,UnitedStates",,Basic Materials,,,,,,VULC,,
55,"JD.com, Inc.",Internet Retail,$90.46 B," 310,000",China,"Beijing,China",,Consumer Discretionary, Mr. Qiangdong  Liu, 6 June 2009,,,,9618,,
56,"Mondelez International, Inc.",Confectioners,$90.67 B," 79,000",United States,"Chicago,IL,UnitedStates",,Consumer Staples, Mr. Dirk  Van de Put," December 10, 1923",,,,MDLZ,,
57,MERCK Kommanditgesellschaft auf Aktien,Drug Manufacturers—Specialty & Generic,$90.74 B," 60,334",Germany,"Darmstadt,Germany",,Healthcare, Ms. Belen  Garijo Lopez M.D.,,,,,MRK,,
58,Deutsche Telekom AG,Telecom Services,$93.01 B," 216,528",Germany,"Bonn,Germany",,Communication Services, Mr. Timotheus  Hottges,,,,,DTE,,
59,Schneider Electric SE,Specialty Industrial Machinery,$94.34 B," 166,025",France,"Rueil-Malmaison,France",,Industrials, Mr. Jean-Pascal  Tricoire,,,,,SU,,
60,Enbridge Inc.,Oil & Gas Midstream,$94.94 B," 10,900",Canada,"Calgary,AB,Canada",,Energy, Mr. Al  Monaco," April 30, 1949 as Interprovincial Pipe Line Company",,,,ENB,,
61,Canadian National Railway Company,Railroads,$94.96 B," 22,604",Canada,"Montreal,QC,Canada",,Industrials, Ms. Tracy A. Robinson, 6 June 1919,,,,CNR,,
62,Booking Holdings Inc.,Travel Services,$95.02 B," 20,097",United States,"Norwalk,CT,UnitedStates",,Consumer Discretionary, Mr. Glenn D. Fogel, 1996,,,,BKNG,,
63,China Shenhua Energy Company Ltd,Thermal Coal,$95.34 B," 77,029",China,"Beijing,China",,Energy,,,,,,601088,,
64,BP plc,Oil & Gas Integrated,$96.24 B," 60,000",United Kingdom,"London,UnitedKingdom",,Energy,, 14 April 1909 as the Anglo-Persian Oil Company,,,,BP.,,
65,"Automatic Data Processing, Inc.",Staffing & Employment Services,$96.98 B," 56,000",United States,"Roseland,NJ,UnitedStates",,Industrials, Mr. Carlos A. Rodriguez, 1949,,,,ADP,,
66,"MetLife, Inc.",Insurance—Life,$62.69 B," 49,000",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Michel Abbas Khalaf," March 24, 1868",,,,MET,,
67,Dassault Systèmes SE,Software—Application,$62.75 B," 20,496",France,"Velizy-Villacoublay,France",,Technology, Mr. Bernard S. Charles,,,,,DSY,,
68,PacifiCorp,Utilities—Diversified,$62.87 B," 4,800",United States,"Portland,OR,UnitedStates",,Utilities, Mr. William J. Fehrman,,,,,PPWLM,,
69,Boston Scientific Corporation,Medical Devices,$63.08 B," 41,000",United States,,,Healthcare, Mr. Michael F. Mahoney, 1979,,,,BSX,,
70,FedEx Corporation,Integrated Freight & Logistics,$63.25 B," 384,000",United States,"Memphis,TN,UnitedStates",,Industrials, Mr. Frederick W. Smith," May 5, 1971",,,,FDX,,
71,Shin-Etsu Chemical Co Ltd,Chemicals,$63.43 B," 24,629",Japan,"Tokyo,Japan",,Basic Materials,,,,,,4063,,
72,AP Moller - Maersk A-S,Marine Shipping,$64.40 B," 95,000",Denmark,"Copenhagen,Denmark",,Industrials, Mr. Soren  Skou,,,,,MAERSK.B,,
73,"SK hynix, Inc.",Semiconductors,$64.60 B," 29,047",South Korea,"Icheon-Si,SouthKorea",,Technology,,,,,,000660,,
74,Oriental Land Co. Ltd,Leisure,$64.66 B," 8,782",Japan,"Urayasu,Japan",,Consumer Discretionary, Mr. Toshio  Kagami,,,,,4661,,
75,Snowflake Inc.,Software—Application,$65.04 B," 2,495",United States,"SanMateo,CA,UnitedStates",,Technology, Mr. Frank  Slootman," July 23, 2012",,,,SNOW,,
76,Exelon Corporation,Utilities—Diversified,$65.53 B," 31,518",United States,"Chicago,IL,UnitedStates",,Utilities, Mr. Christopher Mark Crane," October 20, 2000",,,,EXC,,
77,Colgate-Palmolive Company,Household & Personal Products,$65.64 B," 33,800",United States,"NewYork,NY,UnitedStates",,Consumer Staples, Mr. Noel R. Wallace, 1806,,,,CL,,
78,Ford Motor Company,Auto Manufacturers,$65.74 B," 183,000",United States,"Dearborn,MI,UnitedStates",,Consumer Discretionary, Mr. James D. Farley Jr.," June 16, 1903",,,,F,,
79,Newmont Corporation,Gold,$65.89 B," 14,400",United States,"Denver,CO,UnitedStates",,Basic Materials, Mr. Thomas Ronald Palmer, 1921,,,,NEM,,
80,"Equinix, Inc. (REIT)",REIT—Specialty,$66.35 B," 10,944",United States,"RedwoodCity,CA,UnitedStates",,Real Estate, Mr. Charles J. Meyers, 1998,,,,EQIX,,
81,ICICI Bank Limited,Banks,$66.62 B," 98,750",India,"Mumbai,India",,Financials, Mr. Sandeep  Bakhshi B.E., 5 January 1994,,,,IBN,,
82,DBS Group Holdings Ltd,Banks,$66.74 B," 33,000",Singapore,"Singapore,Singapore",,Financials, Mr. Piyush  Gupta,,,,,D05,,
83,Industrial Bank Co. Ltd,Banks,$66.87 B," 59,630",China,"Fuzhou,China",,Financials,,,,,,601166,,
84,"Waste Management, Inc.",Waste Management,$66.95 B," 48,500",United States,"Houston,TX,UnitedStates",,Industrials, Mr. James C. Fish Jr.," January 1, 1968",,,,WM,,
85,ABB Ltd,Electrical Equipment & Parts,$67.19 B," 104,400",Switzerland,"Zurich,Switzerland",,Industrials,, 1988,,,,ABBN,,
86,Westpac Banking Corporation,Banks,$67.20 B," 40,143",Australia,"Sydney,NSW,Australia",,Financials," Mr. Peter Francis King F.C.A., BEc, FCA",,,,,WBC,,
87,The Progressive Corporation,Insurance—Property & Casualty,$67.31 B," 49,077",United States,"Mayfield,OH,UnitedStates",,Financials, Ms. Susan Patricia Griffith," March 10, 1937",,,,PGR,,
88,Illinois Tool Works Inc.,Specialty Industrial Machinery,$67.49 B," 45,000",United States,"Glenview,IL,UnitedStates",,Industrials, Mr. E. Scott Santi, 1912,,,,ITW,,
89,Vertex Pharmaceuticals Incorporated,Biotechnology,$67.49 B," 3,900",United States,"Boston,MA,UnitedStates",,Healthcare," Dr. Reshma  Kewalramani FASN, M.D.", 1989,,,,VRTX,,
90,The Sherwin-Williams Company,Specialty Chemicals,$67.54 B," 61,000",United States,"Cleveland,OH,UnitedStates",,Basic Materials, Mr. John G. Morikis," Cleveland, Ohio, U.S. 1866",,,,SHW,,
91,Bayer AG,Drug Manufacturers—General,$68.09 B," 95,950",Germany,"Leverkusen,Germany",,Healthcare, Mr. Werner  Baumann,,,,,BAYN,,
92,Recruit Holdings Co Ltd,Staffing & Employment Services,$68.11 B," 46,800",Japan,"Tokyo,Japan",,Industrials, Mr. Hisayuki  Idekoba,,,,,6098,,
93,"Iberdrola, SA",Utilities—Diversified,$68.23 B," 38,702",Spain,"Bilbao,Spain",,Utilities, Mr. Jose Ignacio  Sanchez Galan,,,,,IBE,,
94,"Fiserv, Inc.",Information Technology Services,$68.68 B," 44,000",United States,"Brookfield,WI,UnitedStates",,Technology, Mr. Frank J. Bisignano, 1984,,,,FISV,,
95,Sberbank of Russia PJSC,Banks,$68.69 B," 287,866",Russia,"Moscow,Russia",,Financials, Mr. Herman Oskarovich Gref,,,,,SBER,,
96,UBS Group AG,Banks,$68.93 B," 71,385",Switzerland,"Zurich,Switzerland",,Financials, Mr. Ralph A. J. G. Hamers, 29 June 1998,,,,UBSG,,
97,Public Storage,REIT—Industrial,$69.31 B," 5,800",United States,"Glendale,CA,UnitedStates",,Real Estate, Mr. Joseph D. Russell Jr., 1972,,,,PSA,,
98,"América Móvil, S.A.B. de C.V.",Telecom Services,$69.45 B," 181,205",Mexico,"MexicoCity,DF,Mexico",,Communication Services, Mr. Daniel Hajj Aboumrad, 1986,,,,AMXA,,
99,BNP Paribas SA,Banks,$69.90 B," 190,000",France,"Paris,France",,Financials, Mr. Jean-Laurent  Bonnafe,,,,,BNP,,
100,Enel SpA,Utilities—Diversified,$70.15 B," 66,279",Italy,"Rome,RM,Italy",,Utilities, Mr. Francesco  Starace,,,,,ENEL,,
101,"Dominion Energy, Inc.",Utilities—Diversified,$70.20 B," 17,100",United States,"Richmond,VA,UnitedStates",,Utilities, Mr. Robert M. Blue," Virginia, U.S. 1983",,,,D,,
102,AXA SA,Insurance—Diversified,$70.20 B," 106,128",France,"Paris,France",,Financials, Dr. Thomas  Buberl,,,,,CS,,
103,General Dynamics Corporation,Aerospace & Defense,$70.55 B," 103,100",United States,,,Industrials, Ms. Phebe N. Novakovic," February 7, 1899",,,,GD,,
104,"Moderna, Inc.",Biotechnology,$70.81 B," 2,700",United States,"Cambridge,MA,UnitedStates",,Healthcare, Mr. Stephane  Bancel, September 2010,,,,MRNA,,
105,Anglo American plc,Other Industrial Metals & Mining,$71.48 B," 106,000",United Kingdom,"London,UnitedKingdom",,Basic Materials," Mr. Mark  Cutifani B.E., BEng (Mining), Fellow AusIMM, CEngFIMMM, DBA", 1917,,,,AAL,,
106,Siemens Healthineers AG,Diagnostics & Research,$71.50 B," 66,800",Germany,"Erlangen,Germany",,Healthcare, Dr. Bernhard  Montag,,,,,SHL,,
107,"EOG Resources, Inc.",Oil & Gas E&P,$71.90 B," 2,800",United States,"Houston,TX,UnitedStates",,Energy, Mr. Ezra Y. Yacob, 1999,,,,EOG,,
108,PT Bank Central Asia Tbk,Banks,$71.91 B," 25,370",Indonesia,"Jakarta,Indonesia",,Financials,,,,,,BBCA,,
109,Wal-Mart de Mexico SAB de CV,Discount Stores,$71.96 B," 231,259",Mexico,"MexicoCity,DF,Mexico",,Consumer Staples, Mr. Guilherme  De Souza Macedo Loureiro,,,,,WALMEX,,
110,Freeport-McMoRan Inc.,Copper,$72.16 B," 24,700",United States,"Phoenix,AZ,UnitedStates",,Basic Materials, Mr. Richard C. Adkerson, 1912,,,,FCX,,
111,Norfolk Southern Corporation,Railroads,$72.31 B," 18,100",United States,"Norfolk,VA,UnitedStates",,Industrials, Mr. James A. Squires," July 23, 1980 in Norfolk, Virginia, United States",,,,NSC,,
112,KDDI Corp,Telecom Services,$73.12 B," 47,320",Japan,"Tokyo,Japan",,Communication Services,,,,,,9433,,
113,Northrop Grumman Corporation,Aerospace & Defense,$73.25 B," 88,000",United States,"FallsChurch,VA,UnitedStates",,Industrials, Ms. Kathy J. Warden, 1994,,,,NOC,,
114,Aon Plc,Insurance Brokers,$73.33 B," 50,000",United Kingdom,"London,UnitedKingdom",,Financials, Mr. Gregory Clarence Case, 1982,,,,AON,,
115,Bayerische Motoren Werke AG,Auto Manufacturers,$56.17 B," 118,909",Germany,"Munich,Germany",,Consumer Discretionary, Mr. Oliver  Zipse,,,,,BMWB,,
116,Bank of Communications Co. Ltd,Banks,$56.38 B," 90,238",China,"Shanghai,China",,Financials,,,,,,601328,,
117,KLA Corporation,Semiconductor Equipment & Materials,$56.48 B," 11,300",United States,"Milpitas,CA,UnitedStates",,Technology, Mr. Richard P. Wallace, 1997,,,,KLAC,,
118,Humana Inc.,Healthcare Plans,$56.55 B," 95,500",United States,"Louisville,KY,UnitedStates",,Healthcare, Mr. Bruce Dale Broussard," August 18, 1961",,,,HUM,,
119,TC Energy Corporation,Oil & Gas Midstream,$56.77 B," 7,017",Canada,"Calgary,AB,Canada",,Energy, Mr. Francois Lionel Poirier,,,,,TRP,,
120,The Saudi National Bank,Banks,$56.89 B," 16,113",Saudi Arabia,"Riyadh,SaudiArabia",,Financials, Mr. Saeed  Bin Mohammed A. Al-Ghamdi,,,,,1180,,
121,IHS Markit Ltd.,Consulting Services,$56.94 B," 16,000",United Kingdom,"London,UnitedKingdom",,Industrials,, 1959,,,,INFO,,
122,Pinduoduo Inc.,Internet Retail,$57.09 B," 7,986",China,"Shanghai,China",,Consumer Discretionary, Mr. Lei  Chen,,,,,PDD,,
123,"Marriott International, Inc.",Lodging,$57.18 B," 120,000",United States,"Bethesda,MD,UnitedStates",,Consumer Discretionary, Mr. Anthony G. Capuano Jr.," March 5, 1927",,,,MAR,,
124,Canadian Imperial Bank of Commerce,Banks,$57.20 B," 46,030",Canada,"Toronto,ON,Canada",,Financials, Mr. Victor G. Dodig," June 1, 1961",,,,CM,,
125,Mitsubishi Corp,Conglomerates,$57.23 B,,Japan,"Tokyo,Japan",,Industrials, Mr. Takehiko  Kakiuchi,,,,,8058,,
126,Foshan Haitian Flavouring and Food Company Ltd,Packaged Foods,$57.40 B," 6,058",China,"Foshan,China",,Consumer Staples,,,,,,603288,,
127,Enterprise Products Partners L.P.,Oil & Gas Midstream,$57.43 B," 7,000",United States,"Houston,TX,UnitedStates",,Energy, Mr. A. James Teague, 1968,,,,EPD,,
128,Itaú Unibanco Holding SA,Banks,$57.45 B," 99,600",Brazil,"SÃ£oPaulo,SP,Brazil",,Financials, Mr. Milton Maluhy Filho,,,,,ITUB,,
129,"Marvell Technology, Inc.",Semiconductors,$57.62 B," 6,695",United States,"Wilmington,DE,UnitedStates",,Technology, Mr. Matthew J. Murphy,,,,,9MW,,
130,Schlumberger Limited,Oil & Gas Equipment & Services,$57.63 B," 92,000",United States,"Houston,TX,UnitedStates",,Energy, Mr. Olivier  Le Peuch, 1926,,,,SLB,,
131,Pernod Ricard SA,Beverages—Wineries & Distilleries,$57.75 B," 18,500",France,"Paris,France",,Consumer Staples, Mr. Alexandre  Ricard,,,,,RI,,
132,"Air Products and Chemicals, Inc.",Chemicals,$57.82 B," 20,000",United States,"Allentown,PA,UnitedStates",,Basic Materials, Mr. Seifollah  Ghasemi, 1940,,,,APD,,
133,Marvell Technology Group Ltd.,                                        Semiconductors                                    ,$58.36 B," 6,695",Bermuda,"Hamilton,Bermuda",,                                        Technology                                    , Mr. Matthew J. Murphy, 1995,,,,MRVL,,
134,RELX plc,Publishing,$58.53 B," 33,500",United Kingdom,"London,UnitedKingdom",,Communication Services, Mr. Erik  Engstrom, 1993,,,,REL,,
135,"Workday, Inc.",Software—Application,$58.70 B," 15,200",United States,"Pleasanton,CA,UnitedStates",,Technology, Mr. Aneel  Bhusri, March 2005,,,,WDAY,,
136,Vinci SA,Engineering & Construction,$59.01 B," 218,569",France,"Rueil-Malmaison,France",,Industrials, Mr. Xavier M. P. Huillard,,,,,DG,,
137,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,Medical Devices,$59.26 B," 11,833",China,"Shenzhen,China",,Healthcare,,,,,,300760,,
138,Southern Copper Corporation,Copper,$59.46 B," 14,700",United States,"Phoenix,AZ,UnitedStates",,Basic Materials, Mr. Oscar  Gonzalez Rocha, 1952,,,,SCCO,,
139,Saudi Telecom Company,Telecom Services,$59.47 B,,Saudi Arabia,"Riyadh,SaudiArabia",,Communication Services,,,,,,7010,,
140,Nongfu Spring Co. Ltd,Beverages—Non-Alcoholic,$59.50 B," 20,773",China,"Hangzhou,China",,Consumer Staples,,,,,,9633,,
141,Reckitt Benckiser Group plc,Household & Personal Products,$59.53 B," 43,000",United Kingdom,"Slough,UnitedKingdom",,Consumer Staples,, 1814,,,,RKT,,
142,Australia and New Zealand Banking Group Limited,Banks,$59.55 B," 39,684",Australia,"Melbourne,VIC,Australia",,Financials," Mr. Shayne Cary Elliott B.Com, B.Com.", 1 October 1970,,,,ANZ,,
143,"Palo Alto Networks, Inc.",Software—Infrastructure,$59.65 B," 11,527",United States,"SantaClara,CA,UnitedStates",,Technology, Mr. Nikesh  Arora C.F.A., 2005,,,,PANW,,
144,Emerson Electric Co.,Specialty Industrial Machinery,$59.66 B," 86,700",United States,"SaintLouis,MO,UnitedStates",,Industrials, Mr. Surendralal Lanca Karsanbhai, 1890,,,,EMR,,
145,Capital One Financial Corporation,Credit Services,$59.67 B," 50,767",United States,"McLean,VA,UnitedStates",,Financials, Mr. Richard D. Fairbank," July 21, 1994",,,,COF,,
146,Hong Kong Exchanges & Clearing Ltd,Financial Data & Stock Exchanges,$59.75 B," 2,146",Hong Kong,"Central,HongKong",,Financials, Mr. Alejandro Nicolas  Aguzin,,,,,0388,,
147,"NetEase, Inc.",Internet Content & Information,$59.76 B," 18,129",China,"Hangzhou,China",,Communication Services, Mr. Lei  Ding, June 1997,,,,9999,,
148,Deutsche Post AG,Integrated Freight & Logistics,$59.80 B," 548,042",Germany,"Bonn,Germany",,Industrials, Dr. Frank  Appel,,,,,DPWA,,
149,"Block, Inc.",Software—Infrastructure,$59.95 B," 8,521",United States,"SanFrancisco,CA,UnitedStates",,Technology, Mr. Jack  Dorsey," February 14, 2009",,,,SQ,,
150,Nutrien Ltd.,Agricultural Inputs,$60.06 B," 23,500",Canada,"Saskatoon,SK,Canada",,Basic Materials, Mr. Kenneth A. Seitz,,,,,NTR,,
151,CNOOC Limited,Oil & Gas E&P,$60.19 B," 18,151",Hong Kong,"Central,HongKong",,Energy, Mr. Keqiang  Xu, August 1999,,,,0883,,
152,Atlas Copco AB,Specialty Industrial Machinery,$60.97 B," 42,862",Sweden,"Nacka,Sweden",,Industrials, Mr. Mats  RahmstrÃ¶m,,,,,ATCO.A,,
153,Adyen N.V.,Software—Infrastructure,$61.11 B," 2,180",Netherlands,"Amsterdam,Netherlands",,Technology, Mr. Pieter Willem van der Does,,,,,ADYEN,,
